,    CAPEX(천원),    감가상각비(현금흐름표)(천원),    운전자본증감(천원),  당기순이익(비지배)(천원),  당기순이익(지배)(천원),  순부채(천원),  이자발생부채(천원),1개월 초과 수익율,3개월 초과 수익율,6개월 초과 수익율,"BPS(지배, Adj.)(원/주)",BPS증가율(QoQ)(비율),BPS증가율(YoY)(비율),CEPS(Adj.)(원/주),CPS(Adj.)(원/주),EBIT(천원),EBITDA2(천원),EBITDA2PS(Adj.)(원/주),EBITDA2마진율(비율),EBITDA2증가율(QoQ)(분기),EBITDA2증가율(YoY)(분기),EBITDA2증가율(YoY)(연도),EBITPS(Adj.)(원/주),EBIT증가율(QoQ)(비율),EBIT증가율(YoY)(비율),"EPS(Adj., 어닝서프라이즈)(비율)","EPS(Adj., 잠정치)(원/주)","EPS(지배, Adj.)(원/주)","EPS(지배, Adj., 어닝서프라이즈)(비율)","EPS(지배, Adj., 잠정치)(원/주)",EPS증가율(QoQ)(비율),EPS증가율(YoY)(비율),EV(천원),EV/EBIT(배),EV/EBITDA2(배),EV/Sales(배),EV2(천원),Free Cash Flow2(천원),IC(천원),Net Debt/Share(Adj.)(원/주),NOPLAT(천원),"P/B(Adj., FY End)(배)","P/C(Adj., FY End)(배)","P/CE(Adj., FY End)(배)","P/E(Adj., FY End)(배)","P/FCF2(Adj., FY End)(배)","P/S(Adj., FY End)(배)",ROA(비율),ROE(지배)(비율),ROIC(%),SPS(Adj.)(원/주),"SPS(Adj., 잠정치)(원/주)",감가상각비(판관비)(천원),금융비용(천원),금융수익(천원),기타영업외비용(천원),기타영업외수익(천원),당기순이익(어닝서프라이즈)(비율),당기순이익(잠정치)(천원),"당기순이익(지배, 어닝서프라이즈)(비율)","당기순이익(지배, 잠정치)(천원)",당기순이익(천원),매입채무회전율(비율),매출액(어닝서프라이즈)(비율),매출액(잠정치)(천원),매출액(천원),매출액증가율(QoQ)(분기),매출액증가율(YoY)(분기),매출액증가율(YoY)(연도),매출원가(천원),매출채권회전율(비율),매출총이익(천원),매출총이익률(비율),부채비율(비율),부채총계(천원),비유동부채(천원),비유동비율(비율),비유동자산(천원),비지배주주지분(천원),세전계속사업이익(잠정치)(천원),세전계속사업이익(천원),"수정DPS(보통주, 기말현금)(원/주)",순부채비율(비율),순이익률(비율),순이익증가율(QoQ)(분기),순이익증가율(YoY)(분기),순이익증가율(YoY)(연도),"순이익증가율(지배, QoQ)(비율)","순이익증가율(지배, YoY)(비율)","시가배당률(보통주, 기말, KRX기준)(%)",영업이익(어닝서프라이즈)(비율),영업이익(잠정치)(천원),영업이익(천원),영업이익률(비율),영업이익증가율(QoQ)(분기),영업이익증가율(YoY)(분기),영업이익증가율(YoY)(연도),영업활동으로인한현금흐름(천원),유동부채(천원),유동비율(비율),유동성,유동자산(천원),이익잉여금(천원),이자보상배율(배),자기자본비율(비율),자기자본회전율(비율),자본금(천원),자본금회전율(비율),자본유보율(비율),자본잉여금(천원),자본총계(지배)(천원),자본총계(천원),자산총계(천원),재고자산회전율(비율),재무활동으로인한현금흐름(천원),차입금비율(비율),총자산회전율(비율),타인자본회전율(비율),투자활동으로인한현금흐름(천원),판매비와관리비(천원),"현금배당률(보통주, 기말, 액면가)(%)",현금배당성향(%)(%),현금의증가(천원),CD(91일)(%),CP(91일)(%),경제활동인구_고용률(원지수)(%),경제활동인구_실업률(원지수)(%),국고채(3년)(%),원_미국달러(매매기준율)(원),원_유로(원),원_일본엔(100엔)(원),생산자물가지수(2010=100),수입물가지수(2010=100),수출물가지수(2010=100),한국은행 기준금리(%),"회사채(3년,AA-)(%)",Close,Close_kospi,Date_quarter,y
0,52772074.0,80852009,-53297417,1788554.0,90491718.0,-677026536.0,41809272.0,-0.021843675463169558,-0.07036112610980705,-0.13875760346201574,43074.76157,3.411,10.862,2396.0699600000007,2127.63439,131877987.0,216032540.0,2989.78952,13.249,61.732,56.048,53.624,1825.12979,3.248,45.593,,1277.11589,1252.36314,,1252.36314,-2.942,34.473,,,,,,100963919.0,2499983249.0,-9369.73127,97424703.22477,0.0,0.0,0.0,0.0,,0.0,2.093,2.9560000000000004,3.897,22565.74325,22565.74325,9592085,8609042.0,7415098.0,4990068.0,5396145.0,,92280272,,90491718,92280272.0,4.4294,,1630527765,1630527765.0,15.699000000000002,15.537,6.97,1350653501.0,1.8005099999999998,279874264.0,17.165,41.487,1315338418.0,193246738.0,68.152,2160769962.0,58076487.0,136065066,136065066.0,0.0,-21.354,5.66,38.431,24.332,92.768,-2.942,34.473,,,135586609,135180531.0,8.291,137.316,98.81,115.819,153735993.0,1122091680.0,207.21,3.157476846036953e-07,2325088169.0,2196401552.0,266.90254,70.678,0.51961,36128386,45.13149,8552.983,893653311.0,3112443226.0,3170519713.0,4485858131.0,97.02171,10896308.0,1.319,0.36979,1.28249,-76853295.0,144693733.0,0.0,0.0,82538062.0,3.2246875000000004,3.2657812499999963,60.23333333333333,3.0,2.887500000000001,1133.5421875000004,1417.7243749999993,1441.1968750000005,106.14,136.84333333333333,116.79333333333334,3.03125,3.4393750000000014,6920.0,1906.755,201209,0.4910891089108912
1,93250254.0,84720784,-8299230,5398807.0,160304507.0,-775519680.0,42409707.0,0.02178636178262084,-0.02170244149058332,-0.04076000372733046,44065.4998,2.3,11.945,3465.75264,3773.57225,205161464.0,276276645.0,3823.53982,15.328,57.34,118.429,53.624,2839.33891,55.569,43.532,,2293.25653,2218.53956,,2218.53956,77.148,49.392,,,,,,179415896.0,2504813486.0,-10732.83041,152380871.46848,0.0,0.0,0.0,0.0,,0.0,3.702,5.092,6.0835,24945.24891,24945.24891,9904655,8964998.0,10716129.0,-4308819.0,11487654.0,,165703314,,160304507,165703314.0,4.80181,,1802463163,1802463163.0,55.828,20.975,6.97,1469924552.0,2.00913,332538611.0,18.449,37.611,1220467218.0,153210998.0,67.24600000000001,2182076582.0,60909189.0,209832143,209832143.0,250.0,-23.899,9.193,48.745,163.634,92.768,77.148,49.392,,,225396748,191555861.0,10.627,90.346,278.853,115.819,272666150.0,1067256221.0,213.944,3.1570064191156e-07,2283330598.0,2362245981.0,240.34974,72.668,0.56191,36128386,49.8905,9012.025,893653311.0,3184030772.0,3244939961.0,4465407179.0,195.65998,-5517560.0,1.307,0.40273000000000003,1.42161,-137850407.0,140982750.0,50.0,11.26451,121949993.0,2.8851612903225754,3.0035483870967736,59.6,2.833333333333333,2.8083870967741937,1090.861290322581,1414.2148387096772,1346.1261290322584,105.20666666666666,130.60333333333332,112.07,2.7741935483870965,3.3077419354838726,7070.0,1934.85,201212,0.4991542424524799
2,54719392.0,82859191,-165909989,4232927.0,84348150.0,-752586013.0,48326659.0,0.00951147830351795,0.024486954309191008,0.039925201329040094,45183.60862,2.537,11.755,2372.65328,784.8944700000002,121286365.0,209410595.0,2898.1449,13.975999999999999,-54.534,118.429,53.624,1678.5466800000004,-40.882,70.381,,1225.92075,1167.33903,,1167.33903,-47.383,62.916,,,,,,1994549.0,2657210162.0,-10415.43916,89057509.25643,0.0,0.0,0.0,0.0,,0.0,1.96,2.616,3.3515,20737.03894,20737.03894,9797603,7250853.0,15416428.0,15939286.0,4966543.0,,88581076,,84348150,88581076.0,4.18838,,1498391495,1498391495.0,-40.477,20.975,6.97,1224908091.0,1.7308400000000002,273483405.0,18.252,37.415,1245728903.0,174270651.0,66.119,2201421637.0,64686296.0,125337431,125337431.0,0.0,-22.604,5.912000000000001,-81.928,163.634,92.768,-47.383,62.916,,,126551404,126551404.0,8.446,-81.39,278.853,115.819,56713941.0,1071458252.0,221.55,5.999385862318777e-07,2373815267.0,2428536617.0,195.24626,72.77199999999998,0.4558200000000001,36128386,41.47408,9195.512,893653311.0,3264821706.0,3329508002.0,4575236904.0,130.36443,2294124.0,1.4509999999999998,0.33148000000000005,1.21514,-77490617.0,146932000.0,0.0,0.0,-19182766.0,2.834426229508197,2.915245901639344,57.96666666666667,3.6,2.6849180327868862,1084.0754098360658,1430.947377049181,1175.6440983606556,105.3,129.32333333333335,112.29333333333334,2.75,3.0698360655737686,7780.0,1986.86,201303,0.5996919256473331
3,88733114.0,86959689,-75239229,4290338.0,65227931.0,-789435261.0,55005898.0,-0.0347756922601406,-0.08034333631157109,-0.03332701696884999,46177.0202,2.199,10.858,2165.58192,1846.80338,101064874.0,186345369.0,2578.93293,10.688,62.353,168.80700000000004,53.624,1398.69069,-16.673000000000002,-20.876,,962.10041,902.72412,,902.72412,-22.668000000000006,-30.039,,,,,,44710937.0,2704104581.0,-10925.41556,66162155.02304,0.0,0.0,0.0,0.0,,0.0,1.485,1.976,2.4467,24129.41667,24129.41667,10629940,6828615.0,16224468.0,16108415.0,9298960.0,,69518270,,65227931,69518270.0,4.95886,,1743513759,1743513759.0,18.571,32.399,6.97,1506396903.0,2.00293,237116856.0,13.6,40.578,1382050956.0,200554713.0,64.173,2185674955.0,69313385.0,104772919,104772919.0,0.0,-23.178,3.987,132.40200000000002,186.731,92.768,-22.668000000000006,-30.039,,,99385680,99385680.0,5.7,233.42,1230.044,115.819,133444051.0,1181496244.0,220.254,4.5664854044929116e-07,2602291807.0,2493764549.0,129.74107,71.135,0.51771,36128386,48.25883,9376.056,893653311.0,3336602420.0,3405915805.0,4787966762.0,114.56357,-19672598.0,1.615,0.37242,1.32699,-91547382.0,137731177.0,0.0,0.0,43814170.0,2.737258064516128,2.8066129032258065,60.46666666666666,3.1,2.663064516129032,1122.15,1465.4590322580648,1137.421935483871,104.68333333333334,129.24333333333334,114.36,2.6088709677419355,3.026935483870968,7530.0,1944.655,201306,0.5826918657115786
4,83077611.0,87167782,99682202,3911456.0,85327711.0,-1009065491.0,53757215.0,0.0544062459352439,0.2910483379111969,0.2408666368126768,47071.71072,1.937,9.279,2441.38983,4345.269170000001,135389600.0,232103738.0,3212.2074,13.191,27.081,47.595,53.624,1873.72887,33.963,2.6630000000000003,,1235.02841,1180.8957,,1180.8957,30.815,-5.707000000000002,,,,,,230897513.0,2610374521.0,-13964.99543,92769356.49207,0.0,0.0,0.0,0.0,,0.0,1.837,2.533,3.5538,24351.66787,24351.66787,10617643,15889803.0,6134070.0,3418046.0,3662171.0,,89239166,,85327711,89239166.0,4.81335,,1759572913,1759572913.0,-16.455,-8.119,6.97,1469505914.0,2.11055,290066998.0,16.485,41.898,1455260837.0,222252696.0,61.914,2150460334.0,72067918.0,139408317,139408317.0,0.0,-29.052,5.072,-2.698,-39.212,92.768,30.815,-5.707000000000002,,,144935956,144935956.0,8.237,49.283,76.311,115.819,313975124.0,1233008142.0,225.312,1.2600032367188827e-06,2778118290.0,2579092259.0,184.34201,70.473,0.51156,36128386,48.70334,9612.236,893653311.0,3401249869.0,3473317787.0,4928578624.0,128.00548,-1202810.0,1.548,0.36218,1.24031,-96161023.0,145131042.0,0.0,0.0,201504023.0,2.667258064516127,2.7288709677419325,60.5,2.9333333333333336,2.916451612903226,1112.1790322580646,1472.045,1124.2211290322582,104.68666666666668,128.75,113.49,2.5,3.3359677419354856,9490.0,1908.575,201309,0.9985982963909984
5,72000080.0,106534179,-174354504,1175719.0,77468273.0,-1021393540.0,53309009.0,-0.05560111627067055,-0.1004467029735755,0.18700503605187152,49145.04095,4.405,11.527,2537.36869,111.21811,123335844.0,241290013.0,3306.2305300000007,11.797,19.753,12.336,53.624,1689.98595,-8.902999999999997,-39.884,,1077.60436,1061.49428,,1061.49428,-10.111,-52.153,,,,,,-63883338.0,2939665411.0,-13200.08504,142161088.92938,0.0,0.0,0.0,0.0,0.0,0.0,1.538,2.151,4.8359000000000005,28026.07914,28026.07914,13490580,16566481.0,16646255.0,14310468.0,6220188.0,,78643993,,77468273,78643993.0,5.5008,,2045354354,2045354354.0,63.163,-3.794,6.97,1714109967.0,2.1589,331244386.0,16.195,36.482,1416720293.0,197236584.0,61.058,2371101564.0,80644352.0,127471478,127471478.0,250.0,-26.302,3.845,79.429,-26.672,92.768,-9.211,-51.674,,,134755834,134755834.0,6.587999999999999,31.291,21.611,115.819,8116742.0,1219483709.0,240.183,7.054935630925206e-07,2928998232.0,2656560532.0,125.26838,73.27,0.55605,38688900,54.67598,10220.056,1297466853.0,3802735150.0,3883379502.0,5300099795.0,85.3707,-1687385.0,1.3730000000000002,0.39993,1.42435,-81161275.0,196488553.0,50.0,24.96189,-88317922.0,2.653174603174606,2.7780952380952386,60.3,2.766666666666667,2.9035873015873013,1062.095238095238,1445.543333333333,1058.2552380952382,104.28000000000002,123.72333333333331,108.63333333333333,2.5,3.3252698412698414,8130.0,2006.23,201312,0.6540807250731698
6,48873876.0,98513785,29125145,4432857.0,71871157.0,-1193582343.0,51078514.0,-0.011457784716457864,-0.07293744296405946,-0.11493088643687475,49794.6229,1.3219999999999998,10.205,2259.2759,2995.65922,110788835.0,200876884.0,2596.05318,10.76,-52.915,16.334,-10.518,1431.79097,-10.173,-8.655,,986.12282,928.83433,,928.83433,-12.497,-20.431,,,,,,182923644.0,2868506488.0,-15425.38484,64357071.66449,0.0,0.0,0.0,0.0,0.0,0.0,1.43,1.8780000000000001,2.2435,24126.52404,24126.52404,15834187,9811892.0,17976751.0,1724710.0,5825352.0,,76304014,,71871157,76304014.0,4.9076,,1866857352,1866857352.0,-34.019,6.645,-19.648,1582165028.0,1.7737500000000002,284692324.0,15.25,36.49,1436781108.0,222304568.0,59.304,2335111764.0,84502028.0,115295043,115295043.0,0.0,-30.313,4.087,-56.362,77.057,6.4529999999999985,-7.225,-14.792,,,102363099,102363099.0,5.483,-75.311,61.337,-14.492,231797520.0,1214476540.0,250.245,8.823464577110552e-07,3039169745.0,2709094142.0,130.74562,73.266,0.4774000000000001,38688900,48.25305,10355.841,1297466853.0,3852998372.0,3937500400.0,5374281509.0,41.79313,-3218730.0,1.297,0.34978000000000004,1.30847,-177226265.0,182329225.0,0.0,0.0,54691220.0,2.6508196721311506,2.794754098360659,59.13333333333333,3.9333333333333336,2.8732295081967214,1069.0098360655738,1465.0270491803274,1039.6211475409837,104.72333333333334,124.02666666666666,108.60333333333334,2.5,3.3007540983606565,7790.0,1946.14,201403,0.6330333165015029
7,105322610.0,96728267,58060017,5444707.0,120051452.0,-1458691823.0,39960430.0,-0.01926682891207809,0.044232521310889165,-0.03409018666510544,50729.28324,1.877,9.858,2871.94035,4549.1690899999985,184466160.0,269507502.0,3483.0080700000008,13.086,46.18899999999999,4.752,-10.518,2383.96749,66.502,82.523,,1621.86259,1551.49735,,1551.49735,67.03699999999999,71.868,,,,,,246682086.0,2849247808.0,-18851.55462,102438750.2488,0.0,0.0,0.0,0.0,0.0,0.0,2.303,3.087,3.5952,26615.34958,26615.34958,15491397,20116707.0,13194205.0,31546357.0,55894076.0,,125496159,,120051452,125496159.0,5.68742,,2059437197,2059437197.0,0.855,-9.29,-19.648,1724796669.0,2.16803,334640528.0,16.249000000000002,37.653,1511501273.0,263939762.0,56.355,2262258162.0,88946874.0,191417402,191417402.0,0.0,-36.338,6.0939999999999985,115.006,63.804,6.4529999999999985,67.03699999999999,84.04899999999998,,,172779235,172779235.0,8.39,121.643,7.25,-14.492,352004696.0,1247561511.0,261.591,6.087470690736736e-07,3263510318.0,2829145594.0,257.26471000000004,72.646,0.51798,38688900,53.2307,10666.141,1297466853.0,3925320334.0,4014267207.0,5525768480.0,42.8763,-31083317.0,0.995,0.3778800000000001,1.39704,-201188649.0,161861293.0,0.0,0.0,98817528.0,2.650000000000003,2.752333333333333,61.06666666666666,3.6,2.8226000000000004,1030.38,1412.930833333333,1008.7165,104.58333333333331,119.49666666666668,104.46666666666664,2.5,3.2479333333333336,8405.0,1995.265,201406,0.7169810497785508
8,94306208.0,103519522,27748249,6265838.0,91064357.0,-1582755978.0,23798209.0,-0.06009168139951732,-0.14860364268152265,-0.11537966757221844,51944.64389,2.396,10.352,2595.70209,3128.07007,137903404.0,235014767.0,3037.23764,13.039,-33.72,-45.36600000000001,-10.518,1782.2089,-25.242,1.857,-17.454,1257.85684,1176.87963,-21.271,1176.87963,-24.146,-0.34,,,,,,147736972.0,2879040410.0,-20454.91055,84713933.9394,0.0,0.0,0.0,0.0,0.0,0.0,1.754,2.292,2.9424,23293.21079,23293.21079,15837168,5220308.0,17628540.0,3896184.0,5275759.0,-17.459,97330195,-21.293000000000006,91064357,97330195.0,5.22714,-17.185,1802377406,1802377406.0,-6.6530000000000005,1.3530000000000002,-19.648,1495183370.0,2.01638,307194037.0,17.044,35.456,1459214182.0,289985037.0,55.753,2294547501.0,96169912.0,145898784,145898784.0,0.0,-38.458,5.4,-64.27199999999999,-39.853,6.4529999999999985,-24.146,6.723,,-21.279,131495245,131495245.0,7.296,-52.997,-66.23100000000001,-14.492,242043180.0,1169229146.0,280.54400000000004,5.061825069557212e-07,3280198859.0,2920209951.0,233.67087,73.825,0.4434,38688900,46.58642,10901.516,1297466853.0,4019362267.0,4115532178.0,5574746361.0,44.17793,-12979126.0,0.578,0.32474000000000003,1.21343,-159802396.0,175698792.0,0.0,0.0,73963174.0,2.516129032258064,2.590483870967743,61.2,3.266666666666666,2.5051290322580653,1025.7596774193546,1362.171129032258,988.3333870967745,104.49,117.04,104.19666666666666,2.379032258064516,2.899564516129032,7305.0,2041.665,201409,0.4634235272389707
9,135353068.51,97815775,-126065251,5248900.33,129893257.15,-1631513986.44,20239962.65,-0.08025303870761052,-0.1871739365171344,-0.3005482172219275,53164.18113,2.3480000000000003,8.177999999999999,3010.65593,2202.5672600000007,174852128.91,284597378.39,3678.02365,13.121,114.105,-2.32,-10.518,2259.71957,26.793000000000006,41.769,8.982999999999997,1746.52364,1678.6889399999998,7.147,1678.6860600000002,42.639,58.144,21078870313.56,120.55255,74.06558000000003,9.7179,21180635537.41,35076740.55,2816206317.5,-21085.03972,171277303.43423998,5.5206300000000015,133.25359,97.48706,174.83882,647.4485400000002,10.47007,2.43,3.195,6.0818,28032.2733,28032.2733,16885742,11731234.79,27025053.68,27695213.67,9349169.88,8.926,135142157,7.151,129893034,135142157.47,6.15649,-4.689,2169075637,2169075637.29,-29.789,-56.387,-19.648,1802870634.6,2.43417,366205001.69,16.883,31.609,1332020531.16,214051251.6,55.006,2317970707.5,101765223.85,184139861,184139860.91,500.0,-38.716,6.23,144.648,-17.99,6.4529999999999985,42.639,67.673,0.17624299999999998,9.868,186781603,186781603.39,8.611,297.4240000000001,2.219,-14.492,170429809.06,1117969279.57,288.744,4.761236272163148e-07,3228074452.63,3050103208.14,273.7533,75.983,0.52081,38688900,56.06455,11237.254,1297466852.62,4112259405.12,4214024628.97,5546045160.13,58.14097,-3713373.28,0.48,0.3900900000000001,1.55421,-302082312.5,179423398.3,100.0,29.774520000000006,-127588109.0,2.1601587301587286,2.2869841269841262,60.63333333333333,3.1666666666666665,2.173492063492064,1086.715873015873,1357.3569841269846,949.9547619047618,102.92,111.92,104.75,2.031746031746032,2.5069047619047624,5745.0,1946.085,201412,0.22812518062699536
10,90087039.0,97300779,-177024153,4868659.0,88397488.0,-1566275292.0,20173288.0,-0.020582355859254383,-0.1256328961560732,-0.3158887570383855,53650.86247,0.915,7.744,2462.81137,678.35221,132990740.0,227692565.0,2942.6084100000007,11.887,-61.01300000000001,-19.12,-50.477,1718.7195800000004,-23.941,20.04,-11.397,1205.0,1142.41408,-12.220999999999998,1142.0,-31.946,22.994,19132286208.0,143.86178999999996,84.02684,9.98802,19238096323.0,-37597637.0,2953637795.0,-20241.92071,91433538.81266,4.98594,394.33792,108.61571,234.15328,-550.5282599999998,10.80569,1.652,2.14,3.0956,24755.4694,24755.0,16836008,15739670.0,21712075.0,1490231.0,6087548.0,-11.342,93266000,-12.194,88397000,93266147.0,5.28083,-5.615,1915524000,1915523760.0,22.229,-19.207,-13.334,1619557784.0,2.15535,295965976.0,15.451,35.008,1489836006.0,234085247.0,54.504,2319541521.0,105810115.0,140884000,140884336.0,0.0,-36.804,4.869,-63.722,-31.82,-334.908,-31.946,22.994,,-7.258999999999999,130392000,130391786.0,6.807,-80.28699999999998,-18.381,-75.219,52489402.0,1255750759.0,272.826,5.645283685746293e-07,3426008791.0,3099825602.0,324.58779,74.07,0.4523200000000001,38688900,49.51094000000001,11365.773,1297466853.0,4149904191.0,4255714306.0,5745550312.0,56.77459,613450.0,0.474,0.33928,1.35763,-142312391.0,165574190.0,0.0,0.0,-97697031.0,2.060666666666665,2.1598333333333333,59.29999999999999,4.066666666666666,1.9709333333333328,1100.2566666666667,1239.3360000000002,923.392,100.89666666666666,101.55,100.09666666666664,1.9416666666666669,2.256883333333333,5630.0,1959.84,201503,0.19475925881585565
11,146981274.0,97073966,28409904,6309503.0,119403490.0,-1657569712.0,17863113.0,-0.07804954836239464,-0.21048837766060569,-0.3465991386749653,55319.73194,3.111,9.049,2879.21029,3811.29585,174004829.0,260764444.0,3370.016260000001,13.308,15.885,-35.886,-50.477,2248.7694,30.84,-5.671,-1.8719999999999999,1625.0,1543.12335,-1.09,1543.0,35.076,-0.54,18421969388.0,105.87045,70.64602,9.40154,18534416208.0,147928414.0,2965320689.0,-21421.77358,109157319.00549,4.69091,68.08708,90.12888,168.16543,135.73821999999998,10.24747,2.162,2.833,3.6811,25323.31666,25323.0,16677393,10366170.0,20370848.0,5318940.0,12019791.0,-1.866,125713000,-1.073,119403000,125712992.0,5.2272300000000005,-9.417,1959463000,1959462532.0,8.559,-13.035,-13.334,1623418129.0,2.18452,336044402.0,17.15,34.038000000000004,1494772661.0,272527570.0,54.933,2412348262.0,112446820.0,181070000,181070451.0,0.0,-37.745,6.416,319.302,32.963,-334.908,35.076,-0.54,,-3.6630000000000003,163690000,163690478.0,8.354,41.252,-47.985,-75.219,294909688.0,1222245091.0,284.22,5.160088721739978e-07,3473862774.0,3219229092.0,406.26654,74.60600000000002,0.4532000000000001,38688900,50.64663,11674.397,1297466853.0,4278991555.0,4391438375.0,5886211036.0,64.77129000000001,-42092977.0,0.40700000000000003,0.33692000000000005,1.31304,-204728122.0,172353925.0,0.0,0.0,55118152.0,1.7706451612903231,1.8243548387096773,61.0,3.8,1.7908064516129034,1097.7709677419355,1213.5495161290319,904.7256451612905,100.83,101.27,100.38666666666666,1.6935483870967742,2.0333225806451614,5325.0,2093.885,201506,0.0311262080752831
12,59493957.0,95569211,1404077,9201709.0,100303989.0,-1780558209.0,14363157.0,0.046161862037027435,-0.05271064727942487,-0.2680059677572204,56731.57059,2.552,9.215,2650.30681,3075.7990000000004,145857268.0,215791498.0,2788.80374,11.517,19.055,15.165,-50.477,1885.00149,-16.176,5.768,-5.2879999999999985,1415.0,1296.2889699999996,-9.434,1296.0,-15.996,10.146,20504248191.0,140.57748999999998,95.01879,10.9431,20674797436.0,178504603.0,3070998621.0,-23011.22814,82180099.49545,5.0765400000000005,93.63421,108.66666,222.17268,124.84163,11.89339,1.828,2.315,2.676,24215.13893,24215.0,17295933,19792812.0,39160601.0,5554713.0,17451651.0,-5.246,109506000,-9.388,100304000,109505699.0,5.2455,-9.524,1873714000,1873714177.0,-18.569000000000006,-24.136,-13.334,1572118018.0,2.09539,301596161.0,16.096,33.724000000000004,1537392487.0,306509265.0,54.459,2482666679.0,170549245.0,152469000,152468612.0,0.0,-39.058,5.8439999999999985,-311.62,-887.543,-334.908,-15.996,10.146,,-24.012,120222000,120222287.0,6.416,51.628,67.796,-75.219,237998560.0,1230883222.0,293.567,4.596588727404036e-07,3613472590.0,3319533081.0,336.48471,74.781,0.4187,38688900,48.43028,11933.655,1297466853.0,4388197538.0,4558746782.0,6096139269.0,59.90391999999999,-5234875.0,0.315,0.31275000000000003,1.23589,-232307578.0,181373873.0,0.0,0.0,20506375.0,1.6306349206349189,1.693968253968255,61.1,3.4,1.7236507936507937,1167.7968253968256,1298.5926984126982,955.7515873015874,99.89,101.15333333333336,102.21,1.5,1.9770317460317457,5260.0,1983.46,201509,0.10330059183888553
13,65274084.09,98628807,-1963949,10430697.13,130915145.33,-1939955585.93,10752807.96,-0.015128499434597598,-0.02504878861027671,-0.013724006494511665,59324.49748,4.57,11.587,3101.3372,3610.44629,168000906.77,272575618.57,3522.65919,12.95,-112.145,-106.533,-50.477,2171.17709,15.182,-3.918,2.41,1827.0,1691.8954199999996,-4.837,1692.0,30.518,0.787,17714005614.07,105.43994,64.98749000000001,8.41617,17902096477.66,214094306.91,3271040846.31,-25071.216630000006,119165093.07223,4.2815400000000015,70.35141,81.90016,150.12748,91.80048,9.33787,2.275,2.917,3.643,27201.061060000004,27201.0,16672396,16126891.51,14747921.24,13203815.05,14759797.47,2.369,141346000,-4.82,130915000,141345842.45,5.8403800000000015,-6.273,2104758000,2104758262.26,2.247,10.479,-13.334,1745756365.62,2.30816,359001895.63,17.057000000000002,32.549,1554827346.23,164912824.36,52.051,2486390139.34,188090863.59,174697000,174697392.77,500.0,-40.612,6.716,-83.641,-691.154,-334.908,30.518,0.787,0.197941,-2.892,173947000,173946811.57,8.264,-193.585,-139.513,-75.219,279368391.0,1389914521.87,276.657,2.803737244131671e-07,3845288985.12,3449529420.39,232.78511,75.444,0.45091000000000003,38688900,54.40212,12269.659,1297466852.62,4588760914.64,4776851778.22,6331679124.46,83.25743,-1363721.63,0.225,0.33872,1.36132,-203064552.09,185055084.06,100.0,29.54211,62184381.13,1.6117187500000003,1.78421875,60.76666666666667,3.1,1.6997187500000008,1157.6921874999996,1267.5696875,953.0703125000003,98.37333333333332,96.02666666666669,97.30666666666669,1.5,2.075546875000001,4965.0,1997.27,201512,0.034248746496313265
14,36024462.0,92085523,-113602601,8212753.0,127849839.0,-1917271872.0,11308846.0,-0.010668547533284278,-0.07725592351465954,-0.06430810680155785,60392.25906,1.8,12.565,2948.49576,-1168.48524,181625487.0,216592256.0,2799.15242,12.412,803.697,17.915,59.92100000000001,2347.25576,8.11,36.57,39.857,1758.0,1652.28062,43.777,1652.0,-2.341,44.631,11623843128.0,63.99896,53.66694,6.66109,11817767467.0,-126439279.0,3141136230.0,-24778.0613,94696736.01913,2.89772,-149.76655,59.3523,105.91421,-107.09579,7.75979,2.164,2.761,3.0147,22552.15178,22552.0,15811261,28781620.0,31460058.0,1607563.0,62259465.0,39.899,136063000,43.786,127850000,136062592.0,4.9182,-6.931,1745036000,1745035890.0,1.749,-8.032,3.135,1429990592.0,1.98508,315045297.0,18.054,28.356,1379595497.0,190011291.0,48.804,2374442563.0,193924339.0,188415000,188414608.0,0.0,-39.407,7.7970000000000015,133.56,446.86,166.76,-2.341,44.631,,-1.111,124507000,124506733.0,7.135,184.264,68.896,274.04200000000003,-90414817.0,1189584206.0,325.36,2.445171310122411e-07,3870429744.0,3538704167.0,542.00288,77.908,0.36196,38688900,45.1043,12500.151000000002,1297466853.0,4671352470.0,4865276810.0,6244872307.0,93.94231,556038.0,0.232,0.27751000000000003,1.18935,149465682.0,190538564.0,0.0,0.0,61697481.0,1.6424999999999992,1.7656666666666647,59.20000000000001,4.266666666666667,1.5342333333333331,1201.4383333333333,1324.867333333333,1042.8086666666666,97.54,94.33,97.49666666666668,1.5,2.0078166666666664,4715.0,1917.14,201603,0.04645726313824562
